date,stock_tickers,benchmark_etf_index,total_rows,bad_quality_tickers
2026-01-23,4019,63,4082,106
2026-01-26,4019,63,4082,105
2026-01-27,4019,63,4082,103
2026-01-28,4019,63,4082,100
2026-01-29,4019,63,4082,99
2026-01-30,4019,63,4082,97
2026-02-02,4019,63,4082,96
2026-02-03,4019,63,4082,96
2026-02-04,4019,63,4082,96
2026-02-05,4019,63,4082,93
2026-02-06,4019,63,4082,91
2026-02-09,4019,63,4082,87
2026-02-10,4019,63,4082,87
2026-02-11,4019,63,4082,87
2026-02-12,4019,63,4082,84
2026-02-13,4019,63,4082,84
2026-02-17,4019,63,4082,84
2026-02-18,4019,63,4082,83
2026-02-19,4019,63,4082,81
2026-02-20,4019,63,4082,81
2026-02-23,4019,63,4082,80
2026-02-24,4019,63,4082,80
2026-02-25,4019,63,4082,78
2026-02-26,4019,63,4082,77
2026-02-27,4019,63,4082,71
2026-03-02,4019,63,4082,70
2026-03-03,4019,63,4082,70
2026-03-04,4019,63,4082,70
2026-03-05,4019,63,4082,70
2026-03-06,4019,63,4082,69
2026-03-09,4019,63,4082,69
2026-03-10,4019,63,4082,66
2026-03-11,4019,63,4082,66
2026-03-12,4019,63,4082,66
2026-03-13,4019,63,4082,65
2026-03-16,4019,63,4082,64
2026-03-17,4019,63,4082,63
2026-03-18,4019,63,4082,62
2026-03-19,4019,63,4082,60
2026-03-20,4019,63,4082,58
2026-03-23,4019,63,4082,56
2026-03-24,4019,63,4082,56
2026-03-25,4019,63,4082,56
2026-03-26,4019,63,4082,56
2026-03-27,4019,63,4082,55
2026-03-30,4019,63,4082,53
2026-03-31,4019,63,4082,53
2026-04-01,4019,63,4082,52
2026-04-02,4019,63,4082,51
2026-04-06,4019,63,4082,46
2026-04-07,4019,63,4082,46
2026-04-08,4019,63,4082,46
2026-04-09,4019,63,4082,46
2026-04-10,4019,63,4082,46
2026-04-13,4019,63,4082,46
2026-04-14,4019,63,4082,45
2026-04-15,4019,63,4082,45
2026-04-16,4019,63,4082,43
2026-04-17,4019,63,4082,40
2026-04-20,4019,63,4082,40
2026-04-21,4019,63,4082,38
2026-04-22,4019,63,4082,36
2026-04-23,4019,63,4082,34
2026-04-24,4019,63,4082,33
2026-04-27,4019,63,4082,33
2026-04-28,4019,63,4082,33
2026-04-29,4019,63,4082,33
2026-04-30,4019,63,4082,32
2026-05-01,4019,63,4082,30
2026-05-04,4019,63,4082,30
2026-05-05,4019,63,4082,30
2026-05-06,4019,63,4082,30
2026-05-07,4019,63,4082,29
2026-05-08,4019,63,4082,27
2026-05-11,4019,63,4082,27
2026-05-12,4019,63,4082,27
2026-05-13,4019,63,4082,26
2026-05-14,4019,63,4082,24
2026-05-15,4019,63,4082,22
2026-05-18,4019,63,4082,20
2026-05-19,4019,63,4082,19
2026-05-20,4019,63,4082,15
2026-05-21,4019,63,4082,13
2026-05-22,4019,63,4082,13
2026-05-26,4019,63,4082,13
2026-05-27,4019,63,4082,11
2026-05-28,4019,63,4082,9
2026-05-29,4019,63,4082,8
2026-06-01,4019,63,4082,7
2026-06-02,4019,63,4082,7
2026-06-03,4019,63,4082,5
2026-06-04,4019,63,4082,2
2026-06-05,4019,63,4082,2
2026-06-08,4019,63,4082,3
2026-06-09,4019,63,4082,6
2026-06-10,4019,63,4082,6
2026-06-11,4019,63,4082,8
2026-06-12,4013,63,4076,1
2026-06-15,4011,63,4074,0
2026-06-16,4010,63,4073,0
2026-06-17,4010,63,4073,0
2026-06-18,4010,63,4073,0
2026-06-22,4010,63,4073,0
2026-06-23,4008,63,4071,0
2026-06-24,4008,63,4071,0
2026-06-25,4008,63,4071,0
2026-06-26,4008,63,4071,0
2026-06-29,4008,63,4071,0
2026-06-30,4007,63,4070,18
2026-07-01,4007,63,4070,21
2026-07-02,4007,63,4070,20
2026-07-06,4007,63,4070,23
2026-07-07,4007,63,4070,23
2026-07-08,4007,63,4070,23
2026-07-09,4007,63,4070,23
2026-07-10,4007,63,4070,9
2026-07-13,4007,63,4070,25
