signal_date,setup_config_id,ticker,company_name,sector,industry,setup_type,disposition,raw_rank,diversified_rank,proposal_score_raw,proposal_score_final,estimated_rr,entry_price_raw,stop_price_raw,target_price_raw,in_raw_top_n,in_diversified_top_n,sector_count_at_selection,industry_count_at_selection
2026-06-23,setup_pullback_v1,IVZ,Invesco Ltd.,Financials,Asset Management,pullback,BUY,1,1,91.27935691130807,91.27935691130807,5.088482878979088,27.020000457763672,26.469738365180525,29.81999969482422,True,True,1,1
2026-06-23,setup_pullback_v1,MDLZ,"Mondelez International, Inc.",Consumer Staples,Confectioners,pullback,BUY,2,2,87.37872024309944,87.37872024309944,10.777255685549617,61.060001373291016,60.32809277001066,68.94796752929688,True,True,1,1
2026-06-23,setup_pullback_v1,FDX,FedEx Corporation,Industrials,Integrated Freight & Logistics,pullback,BUY,3,3,87.33061428507534,87.33061428507534,8.269270343101745,317.239990234375,313.99444286536266,344.07829884008066,True,True,1,1
2026-06-23,setup_trend_continuation_v1,RCL,Royal Caribbean Cruises Ltd.,Consumer Discretionary,Travel Services,trend_continuation,BUY,4,4,86.36338787860024,86.36338787860024,4.058575214813034,309.5299987792969,297.170943299205,359.6901550292969,True,True,1,1
2026-06-23,setup_pullback_v1,CPAY,"Corpay, Inc.",Technology,Software - Infrastructure,pullback,BUY,5,5,86.18386637345152,86.18386637345152,5.469072280037989,339.3599853515625,334.8016211689655,364.2900085449219,True,True,1,1
2026-06-23,setup_trend_continuation_v1,HOG,"Harley-Davidson, Inc.",Consumer Discretionary,Recreational Vehicles,trend_continuation,BUY,6,6,85.27918458623269,85.27918458623269,3.011290703273563,25.579999923706055,24.09528154346625,30.050918579101562,True,True,2,1
2026-06-23,setup_pullback_v1,LEA,Lear Corporation,Consumer Discretionary,Auto Parts,pullback,BUY,7,7,84.6284631144233,84.6284631144233,6.7930678192740945,136.67999267578125,134.86196193737544,149.02999877929688,True,True,3,1
2026-06-23,setup_trend_continuation_v1,FLS,Flowserve Corporation,Industrials,Specialty Industrial Machinery,trend_continuation,BUY,8,8,84.30540274781066,84.30540274781066,6.067304929652733,79.9800033569336,78.03810000979938,91.76212310791016,True,True,2,1
2026-06-23,setup_trend_continuation_v1,PPG,"PPG Industries, Inc.",Materials,Specialty Chemicals,trend_continuation,BUY,9,9,83.33516492612239,83.33516492612239,6.91531940285058,117.69999694824219,115.92698990114533,129.96090698242188,True,True,1,1
2026-06-23,setup_pullback_v1,KEX,Kirby Corporation,Industrials,Marine Shipping,pullback,BUY,10,10,83.01630567388302,83.01630567388302,6.728498281840134,138.22999572753906,137.05885700493877,146.11000061035156,True,True,3,1
2026-06-23,setup_trend_continuation_v1,NGVT,Ingevity Corporation,Materials,Specialty Chemicals,trend_continuation,BUY,12,11,82.93759107627523,82.93759107627523,2.4585583882550988,72.66000366210938,70.54087600202955,77.87000274658203,True,True,2,2
2026-06-23,setup_trend_continuation_v1,INGM,Ingram Micro Holding Corporation,Technology,Information Technology Services,trend_continuation,BUY,14,12,82.5743546620178,82.5743546620178,4.8579375232594595,28.329999923706055,27.638348251723013,31.690000534057617,True,True,2,1
2026-06-23,setup_pullback_v1,IVR,Invesco Mortgage Capital Inc.,Real Estate,REIT - Mortgage,pullback,BUY,15,13,82.44360666561519,82.44360666561519,4.671216324043881,7.809999942779541,7.722228301346688,8.220000267028809,True,True,1,1
2026-06-23,setup_pullback_v1,PSX,Phillips 66,Energy,Oil & Gas Refining & Marketing,pullback,BUY,17,14,81.52859670710589,81.52859670710589,2.327092981922602,170.33999633789062,162.7511273931186,188.0,True,True,1,1
2026-06-23,setup_breakout_v1,ANNX,"Annexon, Inc.",Healthcare,Biotechnology,breakout,BUY,18,15,81.42036667603055,81.42036667603055,4.758131366582165,5.28000020980835,5.193831961009742,5.690000057220459,True,True,1,1
2026-06-23,setup_pullback_v1,ADI,"Analog Devices, Inc.",Technology,Semiconductors,pullback,BUY,23,16,80.20950932617401,80.20950932617401,2.281457595596085,407.260009765625,393.5012687785246,438.6499938964844,False,True,3,1
2026-06-23,setup_pullback_v1,NUE,Nucor Corporation,Materials,Steel,pullback,BUY,24,17,80.14882052671624,80.14882052671624,3.293804625972063,239.6300048828125,230.13642752637062,270.8999938964844,False,True,3,1
2026-06-23,setup_pullback_v1,TFC,Truist Financial Corporation,Financials,Banks - Regional,pullback,BUY,26,18,79.81648332193906,79.81648332193906,2.299336874943406,49.66999816894531,47.49327321365923,54.67502212524414,False,True,2,1
2026-06-23,setup_pullback_v1,GOOG,Alphabet Inc.,Communication Services,Internet Content & Information,pullback,BUY,30,19,79.35959019196073,79.35959019196073,5.1229995407944235,346.0799865722656,340.70812984807344,373.6000061035156,False,True,1,1
2026-06-23,setup_pullback_v1,BXP,"BXP, Inc.",Real Estate,REIT - Office,pullback,BUY,33,20,78.95676328293631,78.95676328293631,3.2420638542528057,64.33999633789062,60.63214126603427,76.36109924316406,False,True,2,1
